Data printed each second 

Number of boids || Mean distance + / - Mean d RMS  ||  Mean speed + / - Mean s RMS
----------------||---------------------------------||-----------------------------
           600  ||        33.132           11.052  ||     116.590           41.784
           595  ||        34.384           10.116  ||      94.900           37.008
           594  ||        35.032            9.936  ||      86.733           20.592
           589  ||        35.017            9.856  ||      86.166           14.874
           583  ||        35.166            9.926  ||      88.869           25.941
           579  ||        35.131           10.077  ||      89.130           27.848
           578  ||        35.055           10.222  ||      87.105           23.826
           572  ||        34.874           10.241  ||      85.098           13.416
           565  ||        34.868           10.064  ||      85.596           16.027
           559  ||        34.728           10.086  ||      90.460           25.686
           556  ||        34.833           10.084  ||      89.987           25.828
           555  ||        34.896           10.084  ||      88.131           14.821
           553  ||        35.009           10.171  ||      90.376           30.540
